

-0.58443,-0.37459,-0.58850,0.41447



-0.58449,-0.37470,-0.58847,0.41433



-0.58452,-0.37479,-0.58854,0.41412



-0.58447,-0.37480,-0.58857,0.41412



-0.58442,-0.37481,-0.58867,0.41405



-0.58439,-0.37481,-0.58874,0.41399



-0.58433,-0.37484,-0.58886,0.41389



-0.58423,-0.37491,-0.58893,0.41385



-0.58415,-0.37493,-0.58905,0.41379



-0.58407,-0.37494,-0.58922,0.41364



-0.58397,-0.37504,-0.58925,0.41366



-0.58388,-0.37506,-0.58925,0.41377



-0.58389,-0.37512,-0.58922,0.41373



-0.58392,-0.37527,-0.58919,0.41360



-0.58391,-0.37542,-0.58917,0.41350



-0.58389,-0.37547,-0.58920,0.41344



-0.58376,-0.37542,-0.58932,0.41351



-0.58365,-0.37534,-0.58939,0.41364



-0.58372,-0.37526,-0.58927,0.41378



-0.58374,-0.37523,-0.58927,0.41377



-0.58376,-0.37518,-0.58922,0.41387



-0.58379,-0.37512,-0.58919,0.41392



-0.58380,-0.37513,-0.58921,0.41387



-0.58377,-0.37525,-0.58914,0.41390



-0.58384,-0.37532,-0.58910,0.41380



-0.58384,-0.37530,-0.58914,0.41376



-0.58384,-0.37530,-0.58914,0.41376



-0.58379,-0.37529,-0.58917,0.41379



-0.58386,-0.37528,-0.58915,0.41374



-0.58387,-0.37531,-0.58916,0.41367



-0.58393,-0.37530,-0.58915,0.41361



-0.58393,-0.37544,-0.58917,0.41346



-0.58392,-0.37551,-0.58927,0.41327



-0.58390,-0.37552,-0.58932,0.41321



-0.58381,-0.37553,-0.58936,0.41328



-0.58374,-0.37557,-0.58940,0.41327



-0.58373,-0.37565,-0.58937,0.41328



-0.58367,-0.37575,-0.58940,0.41321



-0.58370,-0.37577,-0.58947,0.41305



-0.58370,-0.37586,-0.58941,0.41307



-0.58366,-0.37594,-0.58949,0.41293



-0.58356,-0.37595,-0.58955,0.41297



-0.58345,-0.37586,-0.58972,0.41296



-0.58343,-0.37587,-0.58976,0.41294



-0.58339,-0.37596,-0.58971,0.41297



-0.58355,-0.37567,-0.58973,0.41300



-0.58340,-0.37590,-0.58975,0.41296



-0.58347,-0.37589,-0.58979,0.41282



-0.58275,-0.37696,-0.58976,0.41289



-0.58696,-0.36977,-0.59015,0.41289



-0.58613,-0.37342,-0.58831,0.41340



-0.58519,-0.37413,-0.58833,0.41406



-0.58366,-0.37517,-0.58866,0.41481



-0.58278,-0.37568,-0.58929,0.41468



-0.58231,-0.37590,-0.58980,0.41443



-0.58226,-0.37573,-0.59024,0.41403



-0.58240,-0.37546,-0.59051,0.41368



-0.58268,-0.37511,-0.59067,0.41339



-0.58310,-0.37466,-0.59074,0.41309



-0.58347,-0.37421,-0.59077,0.41294



-0.58388,-0.37382,-0.59068,0.41285



-0.58430,-0.37347,-0.59058,0.41270



-0.58468,-0.37303,-0.59047,0.41272



-0.58507,-0.37259,-0.59037,0.41271



-0.58542,-0.37231,-0.59025,0.41265



-0.58583,-0.37199,-0.59005,0.41263



-0.58616,-0.37168,-0.58989,0.41268



-0.58654,-0.37140,-0.58968,0.41269



-0.58687,-0.37111,-0.58951,0.41271



-0.58711,-0.37084,-0.58943,0.41275



-0.58727,-0.37060,-0.58934,0.41286



-0.58745,-0.37045,-0.58921,0.41292



-0.58758,-0.37027,-0.58919,0.41292



-0.58782,-0.36997,-0.58915,0.41290



-0.58787,-0.37001,-0.58916,0.41278



-0.58787,-0.37001,-0.58927,0.41264



-0.58788,-0.36994,-0.58932,0.41261



-0.58787,-0.36989,-0.58934,0.41264



-0.58789,-0.36980,-0.58937,0.41265



-0.58785,-0.36981,-0.58944,0.41259



-0.58782,-0.36972,-0.58948,0.41266



-0.58780,-0.36962,-0.58956,0.41267



-0.58787,-0.36958,-0.58960,0.41254



-0.58786,-0.36964,-0.58960,0.41250



-0.58981,-0.36557,-0.59015,0.41255



-0.59162,-0.36222,-0.59145,0.41106



-0.59621,-0.35581,-0.59301,0.40776



-0.59981,-0.35309,-0.59099,0.40777



-0.61106,-0.33690,-0.58889,0.40780



-0.61663,-0.33165,-0.58344,0.41154



-0.62481,-0.32118,-0.57769,0.41560



-0.63106,-0.31117,-0.57211,0.42146



-0.63455,-0.29993,-0.57970,0.41392



-0.63347,-0.29637,-0.58187,0.41511



-0.63266,-0.29458,-0.58313,0.41583



-0.63382,-0.29110,-0.58448,0.41463



-0.63322,-0.29142,-0.58486,0.41478



-0.63385,-0.28986,-0.58563,0.41382



-0.63448,-0.28838,-0.58640,0.41281



-0.63483,-0.28752,-0.58690,0.41214



-0.63534,-0.28668,-0.58723,0.41149



-0.63577,-0.28584,-0.58754,0.41095



-0.63626,-0.28503,-0.58786,0.41031



-0.63636,-0.28431,-0.58825,0.41010
0.13064,-0.59384,0.07071,-0.79075



0.13109,-0.59476,0.06972,-0.79007



0.13164,-0.59533,0.07045,-0.78949



0.13171,-0.59421,0.07120,-0.79025



0.13207,-0.59469,0.07113,-0.78984



0.13142,-0.59320,0.07123,-0.79105



0.13214,-0.59420,0.07063,-0.79024



0.13215,-0.59276,0.07114,-0.79127



0.13195,-0.59257,0.07202,-0.79137



0.13182,-0.59355,0.07079,-0.79076



0.13130,-0.59301,0.07053,-0.79128



0.13170,-0.59280,0.07015,-0.79140



0.13200,-0.59214,0.07085,-0.79178



0.13211,-0.59225,0.07109,-0.79166



0.13262,-0.59288,0.07140,-0.79108



0.13200,-0.59364,0.07163,-0.79060



0.13159,-0.59436,0.07104,-0.79018



0.13106,-0.59467,0.07089,-0.79004



0.13176,-0.59598,0.07080,-0.78895



0.13206,-0.59491,0.07101,-0.78968



0.13156,-0.59344,0.07116,-0.79086



0.13151,-0.59415,0.07080,-0.79037



0.13140,-0.59388,0.07111,-0.79056



0.13222,-0.59509,0.07128,-0.78950



0.13240,-0.59546,0.07126,-0.78919



